Datetime,Open,High,Low,Close,Adj Close,Volume
2022-01-13 09:54:00-05:00,318.38,318.6,318.29,318.44,318.44,93461
2022-01-13 09:55:00-05:00,318.5,318.73,318.48,318.71,318.71,72431
2022-01-13 09:56:00-05:00,318.75,318.82,318.71,318.8,318.8,60872
2022-01-13 09:57:00-05:00,319.0,319.22,318.98,319.22,319.22,53107
2022-01-13 09:58:00-05:00,319.12,319.21,319.05,319.1,319.1,72449
2022-01-13 09:59:00-05:00,318.82,320.3,318.62,318.71,318.71,77472
2022-01-13 10:00:00-05:00,318.87,318.97,318.35,318.43,318.43,64287
2022-01-13 10:01:00-05:00,318.34,318.44,318.17,318.28,318.28,63902
2022-01-13 10:02:00-05:00,318.33,318.39,318.07,318.1,318.1,52697
2022-01-13 10:03:00-05:00,318.1,318.25,317.93,318.03,318.03,95074
2022-01-13 10:04:00-05:00,318.06,318.3,317.92,317.97,317.97,71636
2022-01-13 10:05:00-05:00,317.99,318.13,317.84,317.89,317.89,51417
2022-01-13 10:06:00-05:00,317.91,317.98,317.79,317.96,317.96,65061
2022-01-13 10:07:00-05:00,317.93,318.12,317.9,317.98,317.98,72985
2022-01-13 10:08:00-05:00,318.0,318.33,318.0,318.33,318.33,68934
2022-01-13 10:09:00-05:00,318.34,318.42,318.0,318.02,318.02,55254
2022-01-13 10:10:00-05:00,318.06,318.11,317.74,317.87,317.87,50915
2022-01-13 10:11:00-05:00,317.87,317.92,317.67,317.83,317.83,45015
2022-01-13 10:12:00-05:00,317.83,317.89,317.52,317.6,317.6,53529
2022-01-13 10:13:00-05:00,317.6,318.28,317.47,318.24,318.24,96119
2022-01-13 10:14:00-05:00,318.26,318.26,317.8,317.8,317.8,45499
2022-01-13 10:15:00-05:00,317.73,317.95,317.66,317.81,317.81,56379
2022-01-13 10:16:00-05:00,317.83,317.88,317.2,317.26,317.26,74038
2022-01-13 10:17:00-05:00,317.25,317.61,317.24,317.35,317.35,58750
2022-01-13 10:18:00-05:00,317.37,317.37,317.09,317.24,317.24,65213
2022-01-13 10:19:00-05:00,317.23,317.44,317.12,317.37,317.37,91884
2022-01-13 10:20:00-05:00,317.39,317.73,317.3,317.67,317.67,79855
2022-01-13 10:21:00-05:00,317.65,317.68,317.43,317.55,317.55,56958
2022-01-13 10:22:00-05:00,317.54,317.59,317.32,317.55,317.55,42472
2022-01-13 10:23:00-05:00,317.53,317.54,317.33,317.37,317.37,31115
2022-01-13 10:24:00-05:00,317.39,317.59,317.18,317.52,317.52,63621
2022-01-13 10:25:00-05:00,317.52,317.63,316.91,317.0,317.0,109593
2022-01-13 10:26:00-05:00,317.05,317.44,316.96,317.36,317.36,51595
2022-01-13 10:27:00-05:00,317.31,317.4,317.23,317.33,317.33,32052
2022-01-13 10:28:00-05:00,317.31,317.48,317.25,317.48,317.48,91895
2022-01-13 10:29:00-05:00,317.46,317.88,317.44,317.77,317.77,52140
2022-01-13 10:30:00-05:00,317.73,318.01,317.62,317.99,317.99,89614
2022-01-13 10:31:00-05:00,317.99,317.99,317.37,317.4,317.4,85181
2022-01-13 10:32:00-05:00,317.38,317.4,316.9,317.04,317.04,61945
2022-01-13 10:33:00-05:00,317.02,317.24,316.86,317.0,317.0,49323
2022-01-13 10:34:00-05:00,317.01,317.19,316.76,316.78,316.78,78672
2022-01-13 10:35:00-05:00,316.83,317.02,316.64,316.66,316.66,69465
2022-01-13 10:36:00-05:00,316.69,317.01,316.66,316.83,316.83,64057
2022-01-13 10:37:00-05:00,316.87,317.01,316.65,316.93,316.93,57353
2022-01-13 10:38:00-05:00,316.91,316.91,316.55,316.68,316.68,38877
2022-01-13 10:39:00-05:00,316.68,316.87,316.47,316.85,316.85,58434
2022-01-13 10:40:00-05:00,316.82,316.92,316.67,316.67,316.67,71776
2022-01-13 10:41:00-05:00,316.64,316.74,316.5,316.55,316.55,42110
2022-01-13 10:42:00-05:00,316.55,316.68,316.34,316.41,316.41,82197
2022-01-13 10:43:00-05:00,316.44,316.64,316.32,316.34,316.34,54224
2022-01-13 10:44:00-05:00,316.36,316.5,315.82,316.05,316.05,123054
2022-01-13 10:45:00-05:00,316.05,316.05,315.79,315.99,315.99,87276
2022-01-13 10:46:00-05:00,315.98,316.08,315.77,315.9,315.9,77339
2022-01-13 10:47:00-05:00,315.88,315.91,315.66,315.89,315.89,49020
2022-01-13 10:48:00-05:00,315.85,315.86,315.58,315.6,315.6,59361
2022-01-13 10:49:00-05:00,315.6,315.75,315.48,315.49,315.49,64428
2022-01-13 10:50:00-05:00,315.48,315.5,314.87,314.95,314.95,163755
2022-01-13 10:51:00-05:00,314.91,314.99,314.57,314.59,314.59,113440
2022-01-13 10:52:00-05:00,314.57,314.79,314.35,314.56,314.56,102379
2022-01-13 10:53:00-05:00,314.57,314.74,314.44,314.46,314.46,79942
2022-01-13 10:54:00-05:00,314.46,314.7,314.28,314.55,314.55,113685
2022-01-13 10:55:00-05:00,314.55,314.71,314.5,314.55,314.55,88789
2022-01-13 10:56:00-05:00,314.57,314.91,314.41,314.76,314.76,106288
2022-01-13 10:57:00-05:00,314.73,314.74,314.37,314.4,314.4,65396
2022-01-13 10:58:00-05:00,314.39,314.69,314.39,314.6,314.6,81562
2022-01-13 10:59:00-05:00,314.65,314.66,314.32,314.32,314.32,57096
2022-01-13 11:00:00-05:00,314.28,314.66,314.24,314.6,314.6,81223
2022-01-13 11:01:00-05:00,314.58,314.77,314.46,314.54,314.54,82868
2022-01-13 11:02:00-05:00,314.55,314.58,314.13,314.16,314.16,87397
2022-01-13 11:03:00-05:00,314.15,314.17,313.38,313.38,313.38,135774
2022-01-13 11:04:00-05:00,313.33,313.85,313.1,313.49,313.49,172962
2022-01-13 11:05:00-05:00,313.47,314.03,313.47,313.93,313.93,123161
2022-01-13 11:06:00-05:00,313.94,314.08,313.89,313.95,313.95,59053
2022-01-13 11:07:00-05:00,313.52,313.56,313.44,313.53,313.53,123479
2022-01-13 11:08:00-05:00,313.57,313.75,313.5,313.65,313.65,77189
2022-01-13 11:09:00-05:00,313.65,313.77,313.5,313.55,313.55,93211
2022-01-13 11:10:00-05:00,313.56,313.56,312.68,312.74,312.74,174280
2022-01-13 11:11:00-05:00,312.73,313.1,312.65,312.65,312.65,98996
2022-01-13 11:12:00-05:00,312.65,312.75,312.3,312.55,312.55,99163
2022-01-13 11:13:00-05:00,312.46,312.87,312.4,312.66,312.66,117967
2022-01-13 11:14:00-05:00,312.66,312.73,312.2,312.21,312.21,94649
2022-01-13 11:15:00-05:00,312.21,312.77,312.11,312.66,312.66,127173
2022-01-13 11:16:00-05:00,312.68,313.19,312.66,312.93,312.93,114800
2022-01-13 11:17:00-05:00,312.96,313.26,312.76,313.26,313.26,86039
2022-01-13 11:18:00-05:00,313.28,313.44,313.23,313.35,313.35,93105
2022-01-13 11:19:00-05:00,313.34,313.34,313.09,313.15,313.15,66677
2022-01-13 11:20:00-05:00,313.16,313.39,312.98,313.37,313.37,77634
2022-01-13 11:21:00-05:00,313.39,313.88,313.39,313.86,313.86,152797
2022-01-13 11:22:00-05:00,313.87,313.94,313.55,313.65,313.65,71141
2022-01-13 11:23:00-05:00,313.66,313.86,313.57,313.81,313.81,39806
2022-01-13 11:24:00-05:00,313.81,314.11,313.79,314.06,314.06,120168
2022-01-13 11:25:00-05:00,314.03,314.13,313.99,314.02,314.02,70457
2022-01-13 11:26:00-05:00,314.02,314.19,313.99,314.02,314.02,70257
2022-01-13 11:27:00-05:00,314.04,314.08,313.97,314.0,314.0,95691
2022-01-13 11:28:00-05:00,314.0,314.24,313.92,314.23,314.23,89678
2022-01-13 11:29:00-05:00,314.21,314.46,314.18,314.37,314.37,95114
2022-01-13 11:30:00-05:00,314.37,314.57,314.11,314.14,314.14,81058
2022-01-13 11:31:00-05:00,314.15,314.2,313.91,313.95,313.95,73547
2022-01-13 11:32:00-05:00,313.92,314.14,313.83,313.89,313.89,111267
2022-01-13 11:33:00-05:00,313.9,314.05,313.71,314.05,314.05,60805
2022-01-13 11:34:00-05:00,314.06,314.38,314.02,314.26,314.26,65396
2022-01-13 11:35:00-05:00,314.26,314.38,314.17,314.2,314.2,45029
2022-01-13 11:36:00-05:00,314.18,314.4,314.13,314.38,314.38,42281
2022-01-13 11:37:00-05:00,314.35,314.48,314.22,314.24,314.24,54080
2022-01-13 11:38:00-05:00,314.23,314.49,314.11,314.21,314.21,49484
